1/21/2015,BREAKFAST,#HEADER EXAMPLE,Item example,Item example2,#,#,Blank Lines
1/21/2015,LUNCH,#HEADER EXAMPLE,Item example,Item example2,#,#,Blank Lines
1/21/2015,DINNER,#HEADER EXAMPLE,Item example,Item example2,#,#,Blank Lines
1/21/2015,LATEMEAL,#HEADER EXAMPLE,Item example,Item example2,#,#,Blank Lines
1/22/2015,BREAKFAST,#HEADER EXAMPLE,Item example,Item example2,#,#,Blank Lines
1/22/2015,LUNCH,#HEADER EXAMPLE,Item example,Item example2,#,#,Blank Lines
1/22/2015,DINNER,#HEADER EXAMPLE,Item example,Item example2,#,#,Blank Lines
1/22/2015,LATEMEAL,#HEADER EXAMPLE,Item example,Item example2,#,#,Blank Lines
1/24/2015,BREAKFAST,#HEADER EXAMPLE,Item example,Item example2,#,#,Blank Lines
1/24/2015,LUNCH,#HEADER EXAMPLE,Item example,Item example2,#,#,Blank Lines
1/24/2015,DINNER,#HEADER EXAMPLE,Item example,Item example2,#,#,Blank Lines
1/24/2015,LATEMEAL,#HEADER EXAMPLE,Item example,Item example2,#,#,Blank Lines
